layer_id,server,number,name,offsetX,offsetY,symbol,insert,type
68,31,0,C_SWD_EX PIT,0.0,0.0,,,point
67,30,0,C_SWD_EX STORMWATER DRAINAGE,0.0,0.0,maintenance_hole,C_SWD PIT,polyline
66,29,0,1m_CONTOURS,0.0,0.0,,,polyline
65,28,0,C_SWD_EX PIT,0.0,0.0,maintenance_hole,C_SWD PIT,point
64,27,0,C_SWD_EX STORMWATER DRAINAGE,0.0,0.0,,,polyline
63,12,15,C_BDY,0.0,0.0,,,polygon
62,17,45,C_SEW_EX SERVICE,0.0,0.0,,,polyline
61,17,44,C_SEW_EX RISING MAIN,0.0,0.0,,,polyline
60,17,43,C_SEW_EX GRAVITY SEWER,0.0,0.0,,,polyline
59,17,42,C_SEW_EX MAINTENANCE HOLE,0.0,0.0,maintenance_hole,C_SEWER MH,point
58,17,36,C_SWD_EX STORMWATER DRAINAGE,0.0,0.0,,,polyline
57,17,33,C_SWD_EX PIT,0.0,0.0,maintenance_hole,C_SWD PIT,point
56,17,30,C_WAT_EX SERVICE,0.0,0.0,,,polyline
55,17,29,C_WAT_EX DRINKING WATER MAIN,0.0,0.0,,,polyline
54,17,28,C_WAT_EX HYDRANT,0.0,0.0,hydrant,C - FH,point
53,17,27,C_WAT_EX VALVE,0.0,0.0,valve,C - SYSTEM VALVE,point
52,17,26,C_WAT_EX VALVE,0.0,0.0,valve,C - SYSTEM VALVE,point
51,17,23,1m_CONTOURS,0.0,0.0,,,polyline
50,26,6,1m_CONTOURS,0.0,0.0,,,polyline
49,10,19,C_WAT_EX SERVICE,0.0,0.0,,,polyline
48,10,17,C_WAT_EX DRINKING WATER MAIN,0.0,0.0,,,polyline
47,10,16,C_WAT_EX DRINKING WATER MAIN,0.0,0.0,,,polyline
46,10,5,C_WAT_EX HYDRANT,0.0,0.0,hydrant,C - FH,point
45,10,1,C_WAT_EX VALVE,0.0,0.0,valve,C - SYSTEM VALVE,point
44,10,0,C_WAT_EX VALVE,0.0,0.0,valve,C - SYSTEM VALVE,point
43,9,21,C_SEW_EX SERVICE,0.0,0.0,,,polyline
42,9,19,C_SEW_EX RISING MAIN,0.0,0.0,,,polyline
41,9,17,C_SEW_EX GRAVITY SEWER,0.0,0.0,,,polyline
40,9,16,C_SEW_EX GRAVITY SEWER,0.0,0.0,,,polyline
39,9,4,C_SEW_EX MAINTENANCE HOLE,0.0,0.0,maintenance_hole,C_SWD MH,point
38,8,20,C_SWD_EX MAINTENANCE HOLE,0.0,0.0,maintenance_hole,C_SWD MH,polygon
37,8,15,C_SWD_EX STORMWATER DRAINAGE,0.0,0.0,,,polyline
36,7,7,C_WAT_EX SERVICE,0.0,0.0,,,polyline
35,7,5,C_WAT_EX RECYCLED WATER MAIN,0.0,0.0,,,polyline
34,7,4,C_WAT_EX DRINKING WATER MAIN,0.0,0.0,,,polyline
33,7,3,C_WAT_EX SERVICE,0.0,0.0,,,point
32,7,0,C_WAT_EX HYDRANT,0.0,0.0,hydrant,C - FH,point
31,6,7,C_SEW_EX RISING MAIN,0.0,0.0,,,polyline
30,6,6,C_SEW_EX GRAVITY SEWER,0.0,0.0,,,polyline
29,6,5,C_SEW_EX SERVICE,0.0,0.0,,,polyline
28,6,4,C_SEW_EX SERVICE,0.0,0.0,,,polyline
27,6,1,C_SEW_EX MAINTENANCE HOLE,0.0,0.0,,,point
26,5,7,C_EX ELEC OH HV,601.5,1369.1,,,polyline
25,5,6,C_EX ELEC UG HV,601.5,1369.1,,,polyline
24,5,5,C_EX ELEC OH LV,601.5,1369.1,,,polyline
23,5,4,C_EX ELEC UG LV,601.5,1369.1,,,polyline
22,5,2,C_EX ELEC SUBSTATION,601.5,1369.1,,,point
21,5,1,C_EX ELEC POLES,601.5,1369.1,elec_pole,C - ELEC POLE,point
20,5,0,C_EX ELEC PILLARS,601.5,1369.1,elec_pillar,C - ELEC PILLAR,point
19,4,17,C_SWD_EX STORMWATER DRAINAGE,0.0,0.0,,,polyline
18,4,16,C_SWD_EX STORMWATER DRAINAGE,0.0,0.0,,,polyline
17,4,15,C_SWD_EX STORMWATER DRAINAGE,0.0,0.0,,,point
16,4,14,C_SWD_EX STORMWATER DRAINAGE,0.0,0.0,,,polyline
15,4,9,C_SWD_EX STORMWATER DRAINAGE,0.0,0.0,,,polyline
14,4,8,C_SWD_EX STORMWATER DRAINAGE,0.0,0.0,,,polyline
13,4,7,C_SWD_EX STORMWATER DRAINAGE,0.0,0.0,,,point
12,4,6,C_SWD_EX STORMWATER DRAINAGE,0.0,0.0,,,polyline
11,3,7,C_WAT_EX HYDRANT,644.3,1427.8,hydrant,C - FH,point
10,3,6,C_WAT_EX VALVE,644.3,1427.8,valve,C - SYSTEM VALVE,point
9,3,5,C_WAT_EX VALVE,644.3,1427.8,valve,C - SYSTEM VALVE,point
8,3,4,C_WAT_EX VALVE,644.3,1427.8,valve,C - SYSTEM VALVE,point
7,3,3,C_WAT_EX SERVICE,644.3,1427.8,,,point
6,3,10,C_WAT_EX DRINKING WATER MAIN,644.3,1427.8,,,polyline
5,2,12,C_SEW_EX RISING MAIN,644.3,1427.8,,,polyline
4,2,11,C_SEW_EX GRAVITY SEWER,644.3,1427.8,,,polyline
3,2,5,C_SEW_EX MAINTENANCE HOLE,644.3,1427.8,maintenance_hole,C_SEWER MH,point
2,1,9,C_EASEMENT,0.0,0.0,,,polygon
1,1,8,C_BDY,0.0,0.0,,,polygon
